txt,has_anger
"acho que a maioria dos anões aqui não têm a devida dimensão da merda que é o nosso país. é revoltante um homem trabalhador não reagir a um assalto, obedecer sem opinar e no final levar um balaço no meio da testa e a família chorar no velório por uma morte sem ser prevista.sabem aquele descolado que praticava bullyng com o quieto, a culpa não cai somente nele somente mas cai também do retardado que não reage a altura, ele não leva até as últimas consequências como qualquer pessoa normal com paciência e com responsabilidade têm, além do pavio curto que hoje a nossa sociedade estimula de forma inconscientemente. somado com o pau no meu cu de injustiça, do famoso ""dá nada"" que com certeza um bonobo do grupo dele falou que matou e fez as maiores atrocidades e que continua solto (na realidade foi pego somente num crime que tinha prova concreta e atualmente está na condicional depois de passar 1/6 da pena e se comportar, isto é, ser dócil na cadeia) cai na onda e quer cometer esses crimes de grave consequências como tirar a vida e a honra de uma pessoa.passando para o valor econômico, até esses parasitas sociais pensam que roubar é fácil. se analisar ""essa"" profissão, certeza que será uns 30% de periculosidade por risco de vida por encontrar alguém armado e dar um fim nele, aí quem trabalha certinho numa profissão como de radiologista tem o risco de se lascar antes da hora e a vida ser encurtada e ver defensor de vagabundo dizendo que o meliante deve ser resguardado por não tentar correr atrás de um futuro digno, é um insulto para a moral e bons costumes.",1
"meu comentário sobre essa música é o mesmo que o primeiro do video no youtube:

panini: exist

old town road: finally a worthy opponent

",0
confira o que bolsonaro já fez no comando do país e julgue você mesmo se são projetos que engrandecem e contribuem para nosso futuro como nação ,0
"@ucasberto felipe neto,gostava quando era criança
daí cresci e vi a hipocrisia",0
">>62929>essa voz sem energia>misturando mgtow e red pill>""over and over"">""ah mas se chega o christian grey""até agora nunca vi nenhum canal brasileiro realmente red pill, que foque nas teorias das relações intrasexuais e busque motivar homens a realmente tirarem o máximo proveito do sistema para suas vidas. são sempre homens que não tem nada de diferente dos anões aqui do chan, não levam nenhuma vida particularmente interessante, não têm abundância de depósitos, não tem uma missão e adotam essa postura derrotista de ""vou seguir meu próprio caminho"". amigo, que caminho? você só está usando a comunidade como sua bolha ideológica alternativa para lidar com o fato de que não tem sucesso em nada. o propósito dessa comunidade não é ser mais um youtuber/blogueiro reclamando da conjuntura atual da sociedade, de que as coisas não estão indo do jeito que você gostaria, que depósitos são horríveis e tudo mais. caramba, tem algumas postagens realmente muito boas no ledit que eu gostaria de traduzir para os anões, mas às vezes nem sei se aqui é o lugar adequado.é muito fácil se sentir iluminado e querer culpar a sociedade pelos seus problemas, mas a red pill não é um culto: é um corpo de conhecimento, uma caixa de ferramentas para você tirar o melhor proveito da atual situação no mercado sexual.",1
@heraljsdv1999 eu quero,0
"@atardeesua
#parabenssoniaabrao
adoramos vc",0
"chega essa época de festa junina eu me sinto muito estranho qnd chego nos lugar e tô com meu chinelinho havaianas, bermuda e camisa larga e todo mundo vestido de bota, calça jeans e camisa polo",0
"eu no free fire nos primeiros dias sem saber direito o que tinha que fazer
 ",0
"porra, vocês sabiam que dá pra renovar a receita pelo sus? descobri isso hoje, poderia ter economizado tanto dinheiro…",1
@davidmirandario b17 melhor que você não contribui em nada,0
">armado>entupido de remédios>bêbadová a merda, retardado. puta que pariu! eu no seu lugar, teria completado o serviço apenas com remédios e a cerveja (não bebo e não tenho acesso fácil a medicamentos que sejam minimamente letais).aproveite que ainda tem os efeitos dos remédios+bebida e conclua o serviço, caralho!",1
>2011>prosperidade é boa>2019>prosperidade é uma merda,1
