txt,offensive
"Homem branco hétero cisgênero, me oprimindo durante Protesto pela Revogação do Estatuto do Desarmamento.. _ https://t.co/FWeyMFDQWb",1
"é bom que sejam realizadas podas de árvores, mas seria melhor se a @seconser viesse retirar os galhos da rua. e se chover? por que a @niteroipref abandona o ingá, mesmo depois de tantas chamadas solicitando a retirada? @_rodrigoneves_ @niteroiradar @denuncieniteroi @niteroi24hrs ",0
"Eu ganho menos do que o sr, q ganha 33 mil por mês. Favor transferir minha parte do seu salário até sexta. Grato. https://t.co/1y35PYsVbQ",0
@Sybylla_ você tem algumas dicas de livros de ficção científica que podem ser lidos por crianças?,0
mulher eh uma coisa maravilhosa demais vei eu amo ser sapatao,1
"vocês também têm crush em tudo o que mexe, acalmem se lá ahah, o mundo não vai acabar amanhã",0
"@Tunorsa eu quis dizer que tem mulher que é burra, a outra que dá valor, a que é trouxa e etc",1
"@junenarciso @pbbabscbn hahaha,gigíl ne mars",0
"@howtobebella kkkkkkkkkkkkkkkkkkkk morta! foi maravilhoso te dar um cheiro (disso eu lembro, ok?) maravilhosaaaaaa",0
@annavalente vixi as tretas,1
"o governo do gibeira acabou, bê. se nem o kim katakokinho que é um de nós acredita mais, eu entrego os pontos.no melhor dos mundos o gibeira sairia de cena e o mourao assumiria junto com o resto dos militares, mas isso não vai acontecer. mais 4 anos jogado no lixo, que roubada que fomos entrar.",1
"Mulher burra mano! Em vez de mandar a porra do comprovante pra mim, manda pro diretório acadêmico do caralho da UNT!",1
"Totalitários, cobardes-queixinhas! Nojento @sosracismo vive dos nossos impostos e é racista anti-nacional e branco.
https://t.co/QQ1JXNk5uJ",1
#AgendaMaio  Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão https://t.co/6dWIFPYWkN,0
A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO,1
">25 anos>quitei minha seguna faculdade>sem emprego>morando com meus pais, porém em um ""puxadinho"">pensando se vale a pena entrar em uma terceira faculdade e dessa vez soar mesmo>hoje vejo alguns currículos lattes de pessoas jovens como a foda no meio acadêmio, muitos artigos, etc.então, /escoria/ eu cursava redes de computadores…quitei a faculdade de vagabundo mesmo, não curtia ir lá, pegar 2 ônibus para ir/voltar. estava pensando em cursar direito dessa vez em uma uniesquina, pois parece mais fácil…tenho um pouco de medo da oab, ou até de não gostar do curso.será que estou velho para entrar na faculdade?será que vale a pena? ou será que abro algum tipo de negócio? gostaria de conversar com alguém sobre isso..",1
@chollometro #conchollometroahorras a retiuitear como retiuteanda,0
Atlético 2 x 0 Rio Branco com a vitoria o Atletico assume a liderança do Capixabão 2017!,0
"> 26 anos> formado em sistemas em uniesquina> 2 anos que larguei último emprego> não saio mais de casa> morando com os pais em uma cidade sem futuro no interior> calvície piorandoapesar de estar nesse fundo do poço, frequento academia de 3-4 vezes por semana. faço aulas de desenho.  quero entrar em uma federal para um curso de artes ou design, é o meu sonho e o motivo de ter largado meu último emprego como macaco programador, que era um ambiente totalmente estressante e pessimista. estava na esperança de sofrer cedo para conseguir realizar meus objetivos no futuro, ao invés de agarrar em um emprego ruim e passar o resto da vida trabalhando só por dinheiro.levantem da cadeira e malhem o quanto antes, anões. façam uma dieta balanceada, procurem fortalecer os músculos e perder a barriga. é uma das melhores coisas que vocês podem fazer para a autoestima.",1
quando for universitaria quero uma vida igual a do @igoralveso,0
"RT @FilhaDeEva_: ... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!",1
">>58318sou o 58278, obrigado pela resposta.eu tomo remédio desde os 12 anos de idade, atualmente tomo 10 mg de lexapro (assim como outro anão do fio, também me dei mal pra caramba com os equivalentes e me ferrei, tentei escilex, exodus, scitalax) e tomo 1 mg de frontal 3 da tarde e outra 1 mg de frontal 11 da noite, a hora que finalmente vou dormir.esse final de ano não estou conseguindo fazer absolutamente nada, o sofrimento começou dia 21 de dezembro:  fui no upa, com um inchaço  no olho pensando ser uma conjuntivite ou algo do tipo, me encaminharam ao banco de olhos da minha cidade e me falaram que era celulite orbital e me passaram antibiótico. só que meu medo de efeitos colaterais é muito forte, e eu consegui só tomar 5 dias de 7 dias, quinta feira fui de novo no banco de olhos e o médico que estava lá dessa vez disse que a médica anterior diagnosticou errado, que nem celulite orbital era, pois não teria sarado tão rápido, eu mostrei para ele uma foto minha com o olho inchado e ele disse que era só uma alergia, e ficou impressionado de como a médica receitou errado. enfim, fui embora, mas como tinha muita gente no hospital, eu fiquei com medo de ficar resfriado ou pegar alguma bactéria das pessoas que estavam tossindo lá. até que no dia seguinte (e nos outros dias também, embora eu não tinha dado bola) que minha garganta estava coçando, desde então o medo de tomar o antibiótico migrou para o medo da garganta infeccionar e dar febre e ter de tomar antibióticos de novo. hoje, segunda feira ainda estou nesse pânico, nesse toc como você disse. pra piorar eu olhei minha garganta no espelho num desses dias e notei umas bolinhas amareladas, e isso me deixou com muito pânico, mas a garganta não está vermelha, só coça as vezes, e isso tá me deixando com muito medo de ser uma infecção de garganta. tomei nimesulida, mas bate aquela sensação de culpa de estar tomando remédio atoa.natal passado eu passei andando inquieto de um lado pro outro deixando todos nervosos e irritados com minha presença, hoje eu to com medo de acontecer a mesma coisa, eu só quero que chegue logo a hora de dormir, eu sinto que o dia não passa, que o dia não acaba.pra não fugir do fio: o lexapro pra mim funciona a longo prazo e só sinto falta se eu parar. já o frontal em menos de 15 minutos sinto uma melhora, porém nesses dias a melhora é bem curta, rapidinho o medo toma conta de novo.a clínica aonde meu psiquiatra atua (ele é o dono) não atende o telefone desde a semana passada, já fui em psicólogo, mas ele ficava tentando me ""puxar pra cima"", ""ser chad"", literalmente me falava para estudar e me focar em algo para arrumar umas ""gatinhas"" (estou usando as palavras dele), sendo que eu só queria me curar dos medos de doença. não quero saber de garotas, eu vivo muito bem sem, atualmente nem fap mais eu pratico, só queria um refresco pra minha cabeça, voltar a me alimentar sem medo, voltar a me interessar nos videojogos, as vezes eu penso em tomar o frontal 3 vezes ao dia, mas o psiquiatra disse que minha pressão já é baixa, que se eu tomar mais pode dar problema nisso.me desculpem pela mensagem extremamente longa.",1
">>62502tem razão, o problema é morar em um buraco no interior e não achar ninguém com qualquer traço de afinidade pelas coisas que eu gosto. quando eu acho alguém um pouco fora da curva, como essa dita cuja, eu realmente fico animado e como sou ansiosão, acabo batatando. also, problema de ejaculação retardada me faz perder a vontade de fazer dota. já são quase quatro anos sem foder e sinto que daria pra levar assim eternamente. porém, se algum dia eu pitangar, como explicaria para ela que tenho isso e que sexo pra mim só causa dor e desconforto? só consigo sentir prazer na punheta, fornique não.",1
o importante é salvar a bola! ,0
">>9883e depois alguns ainda possuem dúvidas se nacional-socialistas, fascistas e nacionalistas estão mais para a esquerda do que para a direita.",1
"dessa vez minha mãe se superou, até agr cr 😫🤨",0
"anões, há algum problema em tomar creatina assim que começar a treinar?também tenho dúvidas quanto a treinar apenas uma vez por semana (horário que tenho disponível até novembro), enquanto suplemento com creatina antes de cada treino. o quão proveitoso seria isso? dá pra ter algum ganho?obviamente, treinarei apenas em casa.",1
menos o meu ,0
