"txt","offensive"
"~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER","1"
"apoiado ","0"
"@_jujuba_lima SOu nada, faço o básico hahaha","0"
">>63702desculpe a demora, anão. só voltei ao fio hoje.eu fiz assim: em épocas de crise, tomava tadalafila (20 mg) aos fins de semana, quando o sexo é mais frequente entre eu e minha mulher.outra coisa: na hora da foda, sem pressa, passei a me masturbar, com a minha mão ou a da minha mulher. mesmo sem tesão, o atrito da mão com o pênis faz ele crescer. quando fica ereto, começo a meter.","1"
">>58118anão, este lance da virgindade de mulheres é a única forma concreta (que existe fisicamente pelo hímen) de pureza que separa das impuras e que era o único recurso para o homem durante estes séculos saber se ela valia alguma coisa ou não.mas concordamos que virgindade não determina como ela será dentro de um casamento (virtuosa ou viciosa). existe casos que a mulher que era uma vagabunda se torna exemplo para as outras mulheres se dedicando no casamento sói pelo fato em ser acolhida pelo homem e este querendo que seja vagabunda dentro do matrimonio>o normalfag médio não liga pra essas merda de pureza, ele só quer meter a rola…tentar mentir que é virgem não não muda nada, até porque ninguém cai nessa conversao foco aqui e ter um relacionamento menos oneroso do que fuder com puta com 15 ist por 500 guedes, sem capa ainda. mas não é uma boa coisa você receber mentiras insignificantes por parte dela, com certeza ela dará mentiras grandiosas só pra te prender e rir por trás. como a mulher não tem foco em perder a virgindade, ela poderá ser virgem mesmo namorando sempre, com jeitinho ela desarma o homem que quiser comer ela e ela terá a razão por não estar mentindo para ele.>>58123>mas como se afastar de alguém que você convive todos os dias e é a pessoa mais próxima que você tem? pare de nutrir este sentimento que tenha coito no final e vive na realidade.","1"
"Uma vez qdo era criança  eu tava no drive do Mc e um garoto pediu um lanche
Meu pai disse: Não não, se não depois vc não almoça!","0"
"agência de fomento oferece linha de crédito especial para taxistas ","0"
"quando pensamos em suicidio, queremos tirar a dor, não a vida.","0"
"O Irã foi ADVERTIDO formalmente por disparar um míssel de guerra. Deveriam agradecer pelo ridículo acordo que os EUA fez com eles!","1"
">>30092simplesmente perfeito. quando eu tiver algum tempo livre e saco, vou começar a escrever textos lacradores para defender as aberrações.estarei esperando a merda pegar real para lançar cada um deles na internet à fora.vamos ver quem tem mais criatividade para fazer textos lacradores. aposto que os anões são muito melhores que as vagabundas e os soyboys do dce:vocês estão tentando justificar suas falhas a partir do preconceito. já pararam para pensar que atrás de cada atleta trans há uma guerreira que se esforçou ao máximo e enfrentou cada tipo de adversidade para chegar onde chegou?treinem mais, se esforcem mais e aprendam a conviver com as adversidades. nos esportes há lugares para todos e qualquer tipo de preconceito jamais deverá ser tolerado.o que uma mulher precisa fazer para ser considerada mulher? seguir os padrões de beleza irreais? ter a genitália ""correta""? ganhar menos que um homem? quem sabe a solução seja chegar sempre em 8º lugar. o machismo mais perturbador, é aquele cometido pelas próprias depósitos de porra.então por que não separamos os teutões no atletismo? por que não separamos os chineses na ginástica? por que não separamos os coreanos nos e-sports? é inacreditável que em pleno século 21 ainda somos obrigados a conviver com esse tipo de preconceito. para piorar tudo, as autoras desse ódio seletivo são mulheres, esquecendo completamente o sofrimento e a dificuldade que enfrentaram para chegar onde chegaram na nossa sociedade.","1"
