text,hatespeech
rt @user sco pa tu é o crl https://t.co/dsczfg1ak2,0
"@user meu deus, pinto apontadaxo po xéu",1
caralho eu tô mt lindinha hj,0
"@user coisa linda nós mulheres sermos emponderadas, respeitadas,  valorizadas, encorajadas...mas precisa mesmo ficar pelada?",0
o cinéfilo boy lixo não sabe um filme bom quando tá na frente dele.......,0
amo coisas com queijo mas essa intoler芒ncia me fode fico puta tmnc,0
@user @user nino para铆ba vai ver o cebolinha jogar a semifinal da tv馃槀馃槀,0
"rt @user tá todo mundo falando que é horrível ficar assim por causa de alguém, mas vcs já ficaram assim por sua causa? https://t.co/6…",0
é eu olhar pra tela do meu celular q quero chorar,0
"eu amo como sapatão é uma raça unida      
o pisão nos g4ys que é o dia todo se matando na internet",0
n茫o 茅 pedir muito!!,0
por isso n pego ngm :(,0
"rt @user cria da posse, dj mais pica da escócia, humildade e pureza, mlk bom https://t.co/z6qhsjbv2i",0
hoje eu estou totalmente uma criança encapetada inquieta,0
"Eu tenho q entrar no app do meu banco pra ver se meu cartão novo chegou, mas quem disse que tenho coragem, lá eu vou ver quanto eu to devendo no banco. E quero evitar",0
caralho prferia nem saber,0
foda se datafolha,1
"@user tá dando q vai chover, e pra caralho",0
@user fogo no parquinho!,0
"@user eita porra deu ruim aqui tio
https://t.co/qqyjneqeg2",0
irmao esse negócio do super grupo e blá blá blá só tá servindo pra exol falar mal do nct puta merda,0
"rt @user deus sabe de todas as coisas, ele está no controle de tudo",0
@user Hahahahahahahahahahahahahahahah eu consegui ouvir tu falando isso. Que nostálgico.  Tu fazia quando a gente pegava bus voltando da escola pra casa,0
"Os São Paulino tão sentindo o gosto que os flamenguistas sentem com altas e boas contratações, é tão fazendo exatamente o que fizemos. Critica agora carai pq a gente “se achava” kkkkk",0
@user não meu cu é virgem 🙅🏻‍♂️,1
"@user porém ninguém virará fiscal de saúde pública pq eu sou magra, mas se eu fosse gorda e tivesse postando foto, ia ter 80 pessoas enchendo meu saco, #militei",0
queria q tivesse continuação kkkkkkk,0
OP: [...] Por cerca de 3 meses todos nós pensamos que aqui eles estavam apenas “sussurrando” quando na verdade estavam “esfregando as bochechas enquanto fingiam sussurrar durante um discurso de aceitação do prêmio”. https://t.co/ZiTL1kGJFz,0
"que isso mano,um dos melhores q eu j谩 vi",0
@user @user na real os defensores da vida são contra o aborto até a amante engravidar!,0
"rt @user pretinha é mó esperta querendo q eu busco ela na raia ,ta chovendo pra crc",0
não sei se eu tento ajudar ou se fico na minha... pqp,0
"@user No tocante à questão aí, essa terapia não pode chegar ao Brasil! Se isso acontecer, aquele moço que faz arminha com as mãos não terá quem o chame de mito, talquei? Quem fará figuração nas aparições dele para o aplaudir?",0
"@user @user a casa é nossa, não dele.
🤦",0
@user trás o menor pra gente ver hein sdd puto,0
@user a vtnc tbm,1
"amanha tem um jogo aí mais conhecido como maior clássico do brasil. qm nao concorda, q rasge o cu",1
carai eu dormi umas 12 horas seguidas que coisa de gente imprestável,0
"Aviso importante sobre Domingo dia 04/08/2019. 
❌ Não abriremos!

✅ Retornaremos às atividades na terça-feira dia 06/08/2019.

#willbebidas #taubate #tremembe #pindamonhangaba #bar #lougebar #lifestyle em WILL Bebidas https://t.co/vs0WlpzY3M",0
"💥 Já está disponível em nosso site a Edição n° 17 (Agosto/2019) do periódico SLC - Solução em Licitações e Contratos, que, aliás, está cada mês melhor.

Confira nosso Sumário!

https://t.co/QcGyFHDGb5

""Se Deus é por nós, quem será contra nós?"" (Romanos 8:31b). https://t.co/9kerQxJB5i",0
me encontro chorando vendo todox os stories da pride parade em brighton pqp,0
nem eu tô me aguentando pqp,0
"rt @user cheguei a conclusão que todo dia é dia de se apaixonar pelo jungkook,, mermão ele é lindo demais olha só esse estilo https:/…",0
@user porra me dá seu nariz,0
@user porra nem sei,0
ridículo #t4,0
vai com calma filhos cuidado !!,0
rt @user sai do celular e vai viver,0
rt @user hoje vou apanhar uma puta do crlh,1
É o velho &amp; insupor “um doido qualquer disse uma doidice. Vamos dar moral pra ele e debater ainda mais esta doidice”. É o que mais rola no Twitter,1
"crlhh,eu e minha mania de sair de chinelo pqp..tá chovendo p crlh",0
@user kkkkkkkkkkkkkkkkk pqp,1
cheguei em goiana tá rolando um raggae do carai na minha casa ??????,1
@user @user Mas ai no caso vc ta falando soh de repercussao ne? Pq tem uma pa de jogador q o Palmeiras ja contratou q eh mrlhor q o Borja,0
"tava me arrumando p sair e me deu mo vontade de desmaiar viado, to entendendo nada",0
"@user Esta senhora, @user  representa perfeitamente a hipocrisia reinante neste país, atulhada de merda até ao nariz em tudo o que a rodeia, só vê o lixo na casa dos outros.",1
ainda está gorda,1
amo uma mulher pqp maria gadú,0
o único momento em que eu me permito odiar mulheres,1
"@user @user agora pega sua carteira de trabalho, e vai trabalhar vagabundo!",1
"vai tomar no cu, desgraçaaaaaaaa",1
liberdade canto pro asap rocky aleluia,0
chama logo 馃槀,0
perfeito sim ou claro??,0
parece tédio mas é só dor nas costas,0
peço perdão por ter chegado tarde mas vcs n sabem o quanto eu amo e torço pra essa filha da puta!!! te amo ❤️❤️❤️,0
"Eu nem ia participar, porque andava t茫o desanimada esses dias pra quase tudo, mas como n茫o demonstrar, de alguma forma, amor ao Bang Chan? Esse ser humano 茅 absolutamente incr铆vel

#BangChanSelcaDay https://t.co/rmEzut8D4u",0
já falei amore não sou moradora de rua não sou policial militar federal civil portadora de cpf e cnpj estrangeiro de hong kong e hiroshima,0
@user parabéns pr ela kkk milagrosa né,0
"sim caralho
esse é o tweet!",0
exatamente isso seus filhos da puta o cara 茅 foda,0
podia não kk,0
@user mulher não vem com essa não.  tu vai pro vim do mundo e vem com uma história dessa. deixa bichinha.,1
rt @user espero que meus filhos n gravem vídeos assim para a internet https://t.co/ses6aiv5vl,0
"a garotinha tem 8ano um puta gosto musical e uma voz perfeita, queria q fosse minha filha",0
"@user isso tudo s贸 pra ganhar biscoito, mere莽o viu 馃檮",0
rt @user na moral amoooooo essas legendas acho chique demais ser breguinha no amor https://t.co/03rqzyvtiz,0
@user eu sou pretinha louca e não sou de gêmeos então tá tudo certo kkkkkkkkk,0
@user será por que ele viu a bolsa e o vestido vermelho primeiro? ė so uma pergunta.,0
"rt @user 2014 , 2015,  2016,  eu era feliz e não sabia😣💔",0
Será que teremos algum comentário? @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user,0
assim que mamãe for embora vou fazer o que toda garota triste gosta: encher o cu de remédio e dormir a semana inteira como uma boa menina,0
"sem paciência mais pra essa merda, eu tento ajudar mas me respondem como se eu tivesse culpa sendo que não tenho nd a ver com o ngç e só quero ajudar. 

pau no cu também inferno",0
rt @user queria t谩 pegando uma garrafa d鈥櫭ua p deixar do lado da cama se 茅 que vcs me entendem,0
@user kkkkkkkkkkkkkkkkk pqp viu,0
"Sou angry e hard ao mesmo tempo HAHSJSJSJSJSJS ""filha da puta, você é o homem mais gostoso do mundo, desgraçado do caralho """,1
o povo de minha sala eh mt filho da puta criança mimada,0
tomara que essa novela do sané chegue ao fim mesmo porque pqp,0
rt @user essa semana tá passando mto rápido parece que ontem era segunda e amanhã já eh sexta alguém me segura q deu até tontura,0
vai toma no cu eu vou comprar uma dessa fodase https://t.co/y0tecypcm1,0
@user @user velho burro do caralho,1
@user essa foto eu to mortaaa,0
@user tá gorda mane,1
"na moral,sol a semana todaaaaa,aí chega na minha folga o tempo fica esse cu,aí q odio",1
"sentir saudades da pessoa ao ponto de dormir agarrada com o travesseiro... 
puta que pariu te amo seu filho da puta",0
"n sei o q é q vcs veem no pacha p tarem lá batidos td o fds, se fosse o biba era aceitável mas agr fechou ahah",0
rt @user a maior ilusão coletiva do twitter https://t.co/xi24wxb4wp,0
"@user @user minha sra porra, rexpeita kkkk",0
"Um não dá o mínimo de justificativa e o outro policial simplesmente não pergunta NADAe faz oq fez msm sabendo que está sendo gravado, imagina só os tantos de casos que não são gravados... vai se foder não tem como não ter repúdio a esses caras https://t.co/j7g8phmp41",1
"馃弳 O caminho para #Assun莽茫o2019 ! 

鈿� Como ficaram os cruzamento da #SulAmericana ap贸s as oitavas de final. Tr锚s brasileiros avan莽aram 脿s quartas, e dois se enfrentam por vaga na semifinal. https://t.co/urwPmg8wFK",0
"Que a gente adora oferecer mais sabor e alegria aos seus dias você já sabe, né?! 💕

Mas também amamos entregar muita qualidade! Com a tecnologia das novas embalagens Jaguari, seu cafezinho se manterá delicioso e aromático por muito mais tempo ☕ https://t.co/qPXvYA1lQr",0
"se algum homi me mandar mensagem eu vou mandar tnc, eu gosto de mulheres, homens qq eu tenho a ver",0
rt @user caralho so graça ontem,0
@user come o cu do polezza,1
rt @user pqp é tókio caralhoooooooo #voleinaglobo,0
"ih, tem mttttts",0
@user se namorasse comigo ia assistir rei le茫o toda hora mas n茫o me da bola,0
frio e lixo na rua 🥶🥶,0
@user prefiro o chocolate charge da nestlé,0
fome do crl,0
nós é muito bom pra quem não merece porra nenhuma 👎,0
"odeio gente que promete uma coisa e nao faz !!!!! 
é bem melhor avisar: "" nao vai dá p fazer isso "" ou então nem promete !",0
@user pelo jeito está rolando uma competição dentro do governo pra descobrir quem é o ministro mais canalha,0
"@user porra, aaa eu tenho simmmm",0
é mt ruim💔,0
"@user @user @user @user Só as saídas de nenê,Bruno Peres e jucilei banca 95% do salário do Daniel Alves, só juntando os 3 dava 1,3 milhões por mês",0
