text,hatespeech
"sejam legais com as vendedoras, pq as vezes a pessoa ta tendo um puta dia merda e te atendendo com sorriso no rosto, não tem necessidade de ser um cuzão do caralho",1
rt @user @user vtnc,0
"Se eu pego uma praga dessa eu mato namoral 
Tenho NOJO de gnt q maltrata animais
PORRA FILHO DA PUTA VAI COMER UMA BUCETA, ARRUMAR TRABALHO SLA MAS DEIXA OS BICHO EM PAZ INFERNO 
Tomara q arda no inferno.",1
@user ridícula kkkkkkkkkkkkkkk,1
"@user alem de todo mundo que tem filho pequeno e vê o ''serviço maravilhoso'' que ele presta junto com seu irmão,eles são os principais responsáveis pela disseminação da idiotice e da falta de conteúdo no YTBR,claro que o algoritmo é um lixo,mas esses dois meu deus do céu...",1
o pior é que eu não paro de rir kkkkmkkkk,0
"ontem fui de um date cult e tranquilo pra ir parar num bateco no centro, bebendo litrão enquanto tocava funk rala cu ~auge~",0
Poderia fazer uma reflex茫o n tua vida e mudar algumas atitudes @user trabalha em uma empresa que 茅 um canh茫o de audi锚ncia @user e tu fala para varias pessoas e outr o ano j谩 茅 2020 tem que parar com essas piadas vivas!,0
@user fãs do whinderson ... aaaaaaaa esse povo é mt chato pqp.,1
"@user olha , muito ruim morar longe #mpn #luansantana #luanetes #luansantanashow",0
como eu faço pra chupar seu pau? — ??¿¿¿ https://t.co/ses3o1czjl,1
cada pessoa retardada na minha vida que vou te contar viu,1
"frio da porra, da nem vontade de sair da cama",1
"acho engraçado q ninguém fez nada na hora que o cara cuspiu no outro, puta merda viu..",1
pqp to triste que vídeo lindo,0
rt @user tu é namoral com geral nessa porra mas ninguém é cntg,1
"não acredito q eu li isso, sério kkkkkkkkkkkkkkkkkkk se mata pqp",1
"remediado, na maioria um “lixo branco” sem cultura e sem grandes esperanças na vida, que, de repente, pode se ver como protagonista de alguma coisa. Ao se definir como conservador e de direita, se sente como alguém que “protesta”, um pequeno herói, supostamente +",1
"ok tu ""sente"" tesao, atração e etc mas qnd a pessoa fala q n sente nd pela pessoa, só pega, ela quer dizer q n sente nenhum tipo de paixão, amor e coisas do tipo, O AUGE VCS MILITAREM ATÉ NISSO",0
queria conseguir tratar as pessoas exatamente como me tratam mas eu sou boba demais pra conseguir isso tenho que tomar no cu mesmo,0
"caralho, como um pai consegue matar a própria filha cara, a paulada. caralho",1
"@user q pena né linda, quem sabe aumentava uns 20% de chance em cima das concorrentes",0
"@user sério mesmo que não sabia . nossa que coisa . só um burro não enxerga , que só ministros do pt são uns 7!",1
"amanhã é dia de derby parceiro, dia de chutar o cú de palmeirense filho da puta",1
rt @user maldita mania de se importar demais com quem não se importa com a gente e não estar nem aí pra quem tá bem aí pra gente,0
@user @user @user @user @user kkkkk vaca leiteira,1
"rt @user @user aquele travesseiro da ""nasa"" deve ser bom mesmo para você conseguir dormir tranquilo de noite",0
@user @user oque a gente falou ontem seu burro,1
ovelhinha é foda mano kkkkk🐑,0
@user quiser passar raiva quando o produtor é pau no cy e adia a série tecnológica que vc gosta: barry,0
@user @user vsf seu porra to esperando vc falar ainda,1
"santana, muito filha da puta você hein",1
eeeeeee saudade,0
ain mas sou tão bom com todo mundo e só tomo no cu,1
"@user @user @user e os hackers russos que moram em araraquara 😂😂😂😂😂😂😂😂😂
ô gente mentirosa",0
porra são paulo pisou nos lareiras atuais do futebol brasileiro,1
"fazendo planta baixa sem mimimi, estilo engenheiro.",0
"bichinha se d贸i tanto, t么 falando de amizade minha e essa garota achando que vou perder meu tempo c ela, aou kkkkkkkkkkkkkk",1
as vezes eu queria TANTO desistir de desenho porque tem tanta gente babaca no mundo mas infelizmente a arte é minha ataraxia e eu tenho que conviver com isso até morrer,0
rt @user vagabundo e foda 😂😂😂😂 https://t.co/w5edakls7s,0
@user @user adoro parecer  um flor linda deixa eu colocar  o meu pica pau dentro da flor,1
@user mas como é possivel estar sozinha nessa luta. serão todos os outros politicos corruptos em portugal?,0
"caraio, tá mt frio",0
"@user MCP como sempre. Vagabundo e babaca, criou a alcunha de clube do vinho para atacar poucas pessoas que tinham a opinião que o Abel deveria continuar. Júnior reagiu a isso e tem flamenguista se doendo pelo grande ídolo MCP que trouxe vários títulos ao Flamengo",1
