text,hatespeech
@user vendendo o cu,1
"caralho tu vem pra mantena 1 vez no ano pra ficar de casal mano, assim não dá me ajuda ai — kkk ó https://t.co/v3fpthgqfx",0
"18 perguntas, 18 nomes

1- não tem
2- vinicius
3- marinette/ ladybug deusa
4- theu
5- porra mo galera
6- bianca
7- mamae
8- theu
9- bianca/japa/neri/mats
10- dan/lucas/pedro/caio
11- a famosa
12- dan e lucas
13- theu e o gui
14- a famosa
15- bianca
16- pedro
17- vini
18- não tem",0
@user seu verme,1
"@user o cara é gordo,espera oq dele??? kkkkkkk",1
rt @user a pessoa eh normal come莽a ouvi trap fica agindo igual retardado,1
"@user Sim Lobão, se vc se acha o próprio agente, de fato vc esta maluco. Ah, mas isso a gente, nós, já sabemos!!! 

Mano, ao menos confira as merdas que vc escreve antes de postar. Fica feio! Já falei tanto que vc eh um intelectual, não me mata de vergonha, por favor.",1
kkkkkkk virei peixeiro nessa porra,0
"@user vc é viado, só homem sente frio",1
@user tá soltinha em puta,1
@user nem fala!!! estamos reféns da violência. obrigada!! já comprei o colete 😂❤️,0
"@user bafo do caralho, nem conta os bagulho p melhor amiga pdc",0
"rt @user @user me abandonou igual o outro fds, fdp",0
"nunca é do jeito que eu queria. e quando é ,eu n quero",0
"HEI ANIMAL, QUANDO VCS SE CURVARAM PARA OS PAÍSES COMUNISTAS, SUSTENTANDO OS MESMOS  COM O NOSSO DINHEIRO, DEIXANDO QUE O NOSSO PAÍS, E PRINCIPALMENTE A SUA TERRA, O ""NORDESTE"", DESAMPARADOS,PARA VCS, CORRUPTOS,  BANDIDOS E LADRÕES DA PÁTRIA ESTAVA BOM, NÉ ,ZÉ CUÉCA ,LADRÃO?",1
@user nossa q ridículo se eu tivesse lá teria dado logo um soco na cara,1
"@user @user k-army não contém cmg pra nada! 

pqp, vão ser mimadas assim no infernooo oh caralhoooooooooo",1
@user @user @user meus parabéns!!!,0
rt @user eu e maridinho... biquíni novo.  espero pegar logo a marquinha. https://t.co/edpui1zcmm,0
"Galera, editei um vídeo da GameXP pro canal do @user Ficpu muito massa, se inscrevam lá que sempre rola muito conteúdo maneiro de R6. Logo logo chega a parte dois!
https://t.co/GS4TeX9bWy",0
"não preciso fingir sorriso pra agradar vagabundo, não rendo pra ninguém! 🚩",1
crlh deixou fudido,1
**só prq brotei 😣,0
"rt @user vagabundo fica puto, prq sabe q eu não rendo p ngm 🤪🤪🤪🤪🤪🤷🏻‍♀️",1
"Eu na cama e ele na sala a mandar fotos da piça, ""mostra-me a tua xaroca quero comer a tua xaroca"" faz te um homem porco de merda https://t.co/6GVEo4VIri",1
"@user 

🤮 - primeira impressão: porra louca 
💘 - nível de proximidade 0 - 10: 02
✨ -  uma mensagem pra você: tu é gato
 🥵 - pegoooo",0
rt @user e esse fogo no cu de me achar rica no inicio do mês louca,0
99% vagabundo mas aquele um por cento n deixa eu vira puta,0
@user todo petista é um babaca!... não há exceções!,1
como que a menina vai pra escola parecendo a lauren jauregui vei vsf,1
"rt @user é meme mesmo, deus me livre https://t.co/tq5iqwpg9x",0
assistindo pica pau na casa da minha best friend natali,0
Continuando os trabalhos... vem com esse cu apertado... pois o tesão está gritando aqui.... quero enterrar minha pica com força nessa rabeta gostosa.... seu filho da puta tesudo do caralho 😈 https://t.co/r4fVaW7kTP,1
shalom só tem viado e sapatao é?,1
gente acho que o isaque morreu ¿¿¿¿¿¿¿¿¿¿¿¿¿ estamos eu e ana clara esperando o bonito e ele ignorando a gente ve se pode,0
"minha mãe ia meter o ""parar de ser retardado e faz logo essa porra""",1
"@user Não é de duvidar que o stf LIXO está planejando isso, até porque a preocupação deles não é com o povo brasileiro, e sim com a ascensão do comunismo para se perpetuarem no poder.",1
"@user aqui caso quiser entender melhor o que aconteceu. ❤

https://t.co/uh9g3fzdps",0
rt @user vontade de fuder do caralho,1
@user kkkk minha frase eu coloquei sua bixa,1
eu sempre sou o que gasta mais pqp,0
"mano eu não posso ver uma pessoa doida, retardada e lerda que já quero fazer amizade",1
@user tá errado não ué kkkkkkkkkkkk,0
@user espero que esse beiço inchado seja de uns tapas que esse vagabundo levou.,1
eu sou a porra de um desastre,0
"vsf, eu sempre sou excluída",0
@user o youtuber mais merda do mundo馃槖馃槖馃槖 mal exemplo pros menores,1
8 demais porra,1
rt @user jane gloriana vilanueva deixe de gracinha n faz isso sua desgraçada,1
"Vocês voltam da academia assim? Pau doendo de tão duro que está...🔥🍆 nessa posição o encaixa? Será? Alguém dúvida? 😏😈🍆🍑
.
.
.
Sigam os parceiros 
@user @user @user @user @user @user @user @user @user @user https://t.co/24HT1xmmLh",1
"@user Tem atualizar o vocabulário também. , tem que falar : hola galerinha do canal , vamos falar de assunto diferentinho hoje , ações ! Logo depois da vinheta , solta a vinheta editor ! Música do Pablo vitar na hora da vinheta para ajudar no engajamento rsrs",0
"@user @user @user @user @user @user @user O problema em tirar o ministro da educação é que não colocarão um que seja capacitado para o cargo. Se trocarem de ministro 10 vezes, serão 10 medíocres como o Weintraub.",0
só queria um solzinho puta dia feio e frio da porra,1
mano vou te seguir depois dessa pqp,0
"@user @user o mesmo perfil, gente velha classe m茅dia falando bosta no twitter, 茅 uma estat铆stica",0
"Minha mãe pegou meu pc e falou pra eu colocar a senha ""entra aqui Ryan"" aí eu ""entra aqui aonde?""
Ela chegou como ""você é uma pessoa mal amada, gosta de fazer nada pros outros"".
Eu fiquei tipo ¿?",0
@user to na casa de vo perae,0
meu orgulho porra,0
eu nem sei pq me importo com as atitudes dessa gente lixo ai ai,1
@user kkkkkkkkkkkk vtnc rapa,1
"rt @user pq isso me dá uma agonia do caralho, bicho",1
namoral esse computador da apple 茅 um lixo pelo meu pai amado,0
pode te mandar ft do pau? — não tenho microscópio🤷 https://t.co/tr71r8nntw,1
rt @user uma coisa em cima da outra cara 馃槶馃挃,0
@user @user @user continua sendo fofo so que tu é a anã😍,0
"@user Eu assisti quando passava na sky no animax. Nunca entendi tbm essa porra. Hj tenho vontade, mas sei q n vou entender nada kkkkkkkkk (acho q sou burra)",0
"rt @user maldito é o homem que confia no outro, atividade com as amizades!! jesus não foi traído por um desconhecido. bom dia s…",0
"pqp que letra foi essa que eu criei caralho,preciso grava agora pprt",0
"@user as pessoas não leem o manual do videok7, acha que vão ler e entender o manual de um carro? Não me surpreenderia se na maioria das vezes o problema que causou o acidente é de quem está dentro do carro. 

e concordo com menos gente usando carros!",0
jogador vai fuder fuder fuder seu xerecão 🎵😈🤸🏼‍♀️,1
o 12 consegue ser lotado até no sábado puta merda,1
n sabia q eu podia fcr tao triste c um bagulho tao idiota mas crl eu to mt puta e mt triste c isso,1
"quer me matar é inventar gracinha com a porra do meu nome, pelo menos da proxima vez fala algo que seja verdade! tmnc",0
"rt @user nossa a vic ta mt gostosa nessa foto, qisso https://t.co/ck2myz2wcz",0
"queridos, se eu quiser vê foto de paisagem eu procuro plano de fundo para windows xp, pqp! eu quero é foto dos dois caraliooo",0
"rt @user - qual estilo do cara que você gosta?

eu: https://t.co/pompmya2nd",0
"📷 Há mais de dez anos, os jogos e programas ainda eram demonizados pela mídia que fazia associações com a violência. Desde aquela época já existiam autores tentando mostrar o lado positivo e levantado discussões. Mais uma leitura concluída 📚💛 https://t.co/zhUcg1P6aV",0
"@user É claro, a senhora queria o contrário né mesmo ? A coisa não é p amador e não dá desconstruir a merda em 4 anos senadora @user",0
caralho....,0
@user cadê vc no snap vaca,1
"Puto musculoso gemendo com o plug anal.

@user
@user
@user
@user
@user
@user
@user
@user
@user
@user https://t.co/5MCrY6QAJn",1
@user porra gabi compartilha a imagem com a genteeeew,0
vai tomar no meio do seu cu,1
odio q eu testei o lettering no papel p ver o tamanho ai fui fazer o no caderno ficou mais feio tomar no cu,0
"chupa um peitinho toma uma sopinha come uma buceta toma uma sopinha come um cuzinho toma uma sopinha,é só isso que eu queria",1
nem acredito que o gui salvou meu ingresso pqp,0
diego original que vira dinossauro e da o cu pra mulher conte comigo pra tudo diego que para tempo sei lá joga água fervente na cara e morre,1
"meubdeus eu vou infartar caralho
#voleinaglobo
 https://t.co/z3s3m6c6es",1
"LEIAM!!! 

Em texto irretocável publicado nas redes sociais, Jornalista destrói mídia que ataca Bolsonaro – News Atual

#STFVergonhaNacional  https://t.co/vxQXHO3ImH",0
falo que eu vou juntar a porra do dinheiro pra comprar roupa e gasto com besteira,1
