"text","hatespeech"
"mt bom ter um filho 🤭🤗","0"
"@user vsf nayane, nem quero assunto contigo","1"
"apanhou pouco, fdp...
fogo nos racistas","0"
"quando eu peço p minha mãe pra deixar eu ir num role foda

minha mãe: https://t.co/d2ljze2ttq","0"
"@user @user toma seu humorista de merda......😂😂😂😂
mito mito mito","1"
"rt @user kkkkkkkkkkkkkkkkkkkk todo dia ela arrasando os homi de uma forma diferente https://t.co/laiskvrl3l","0"
"cachopas de 10 anos a refilar comigo sem razão aparente e estupida, vão ser fixes vocês. acalmem-se lá sff","1"
"Muita rola no cu e com direito a beber muito leite no final, valeu a visita do @user essa semana ainda teremos mais #bareback #novelo #semcapa #semcamisinha https://t.co/3az5wyBp2i","1"
"As stays ficaram varias vezes na live perguntando sobre os gatinhos do minho dai ele, poxa vocês estão mais curiosos sobre soonie doongie e dori do que sobre mim, ficou chateado ele kkkkkkkkkkkkkkkkkkkkk como se nao fosse pai babão ne minho ta tentando enganar quem https://t.co/IstXWXm6aP","0"
"3 a 4 dias nessa porra","0"
"rt @user mano tá tudo me irritando hoje pqp","0"
"eu tô só eu mesma na minha ft de perfil","0"
"pqp eu passei a temporada inteira com ódio do khai mas só bastou essa ceninha pra me fazer derreter pelo ship.","0"
"se deus n茫o existe,  quem coloca a agua dentro do coc么??","0"
"rt @user tenho saudades de ouvir estas coisas lamechas que nos fazem o dia https://t.co/16capuojgb","0"
"rt @user colorado acha q o futebol nasceu em em 2006 para ficar "" aí mimimi popo po o grêmio n tem mundial 😭😭😭😭😭🤬🤬🤬🤬""","0"
"@user los angeles maior q o el mal querer bjsss","0"
"#ExposingMIndustry

artistas que parecem sempre felizes, mas por trás, sofrem com a dor da indústria que os sufoca cada vez mais. https://t.co/lMIoZngOcz","0"
"quando alguma amiga minha fala que gostou de um cara:","0"
"pronto, agora acaba o jogo a cabeça com um puto galo e latejando 🙄","0"
"rt @user mano tenho que pensar mais em mim, eu faço de tudo pra ver a galera feliz, e o povo não move uma palha p me ver bem aaa v…","0"
"fome da porra bicho .","0"
"Não achei na @user mas comprei pela minha conta US. Fica a dica! -- E aproveitando, a pauta de hoje na coluna na @user será biotecnologia!","0"
"@user @user fi ,apanhei feio","0"
"rt @user correria uns 10km de boa com essa rola no rabo. melhor foi o prêmio no fim 🤤 https://t.co/o8tj5tuwvr","1"
"É ridículo cobrar o que deve ser espontâneo, mas é na esperança de mudar algo e a pessoa simplesmente te dar valor quando na verdade é pura perda de tempo e no fim sabemos que isso não vai mudar nunca até seguir o baile e aparecer alguém que faça o que o outro não faz","0"
"@user ham daqui a pouco perco a paciência xingo logo","0"
"pqp ficou incrivelmente bom isso ai caralho","0"
"Se vc n faz parte do fandom, n conviveu cm a gente  não sai faland merda.
Se deixando se levar por mentiras.

Qual é o problema de entender q nng ameaçou nng aqui .

VÃO TUDO SE LASCAR !","0"
"Não fiz o gol , mais dei assistência pra um gol que foi o único , e tomamos a virada pra 3x1 , fico puto quando perdemos por Baguio besta , pqp 🙄","0"
"Ai cara se eu me rebaixasse assim eu podia tá fazendo tanto dinheiro
Escrever livro de frases óbvias
Escrever letra de funk
Mas não
Vai o retardado tentar escrever coisa boa","0"
"não importa se ela é puta a muito tempo, ela é puta mais tbm tem sentimentoooo","0"
"reizinho","0"
"@user tmj cu mlk kkkkkk próxima vez vai sem hein kk","1"
"cu assassinokkkkkkkkkkkkkk tudo bem mo","0"
"A JP devia ter vergonha na cara e tirar fefrito e edgard do morning show.
Só não caiu pra zero de audiência por causa do Caio, mas se tirar o Caio, fica com audiência negativa!
Parece piada, mas os dois são tão ruins que podem, mesmo, negativar!","1"
"só resta responder é fico de consciência meio q tranquila....","0"
"#ATENÇÃO

Tem uma informação circulando que a #China vai decretar lei marcial e colocar tanque nas ruas de #HongKong. Aguardando se confirmar.","0"
"o povo aqui em cs resolveu se unir, nenhuma briga até agr, quero ver até quando dura","0"
"breno sempre copia meu capitão no cartola, namoro tóxico do caralho","0"
"@user @user @user tá com medinho né? vai rezando.","0"
"@user Correto. Porém o liberalismo, de onde o libertarianismo bebe em parte, é de direita… e parente do utilitarismo e minarquismo. O que mais o AnCap detesta na direita é a feição estatista e coletivista do Conservadorismo…","0"
"Pq não fazem outra novela com Salinas e Ana Brenda protagonizando? Eles têm muita química e não aproveitaram direito nessa novela #AQueNaoPodiaAmar084","0"
"as vezes eu fico tão chateada por não ter acompanhado os meninos desde o começo, ter visto o crescimento deles, as conquistas, os comebacks antigos etc e só chegar no fandom quando eles já são muito conhecidos, puts me deixa no meu canto 🤧
https://t.co/xHkWYsjKPW","0"
"@user @user me chama mesmo porra","0"
"@user @user @user @user marketing filha da puta","0"
"puts tadinha kkk","0"
"@user você ta falando essas coisas de tio lulu","0"
"rt @user @user porra perfeita demais q isso","0"
"rt @user desculpa mais não é hj q azinimiga vai me chamar de feia https://t.co/gwqltpgmbx","0"
"puta merda mano que dó do cara
não fez nada demais e tomou uma cuspida na cara
brancos o q tenho a ver","0"
"@user vão ficar cara a cara com moro e a justiça","0"
"ela ta com uma faca na mão e ficou suave bicho.......... eu ja tinha enfiado a faca no bucho desse fodido vai tomar no cu ne","0"
"mas puta merda hidratadissimo","0"
"odeio ficar sem luz vai tomar no cu","0"
"E lá se foram 30 anos!
Três décadas sem seu Luiz! Como faz falta e como tenho alegria de ter convivido e entrevistado ele.
Hoje é dia de saudade e homenagem.
Viva o maior de todos! https://t.co/1y0dHV5rcE","0"
"talvez eu quisesquero","0"
"@user @user vai impactar porra nenhuma.","0"
"@user Cara, somos humanos. Erramos. Não estou aqui falando que o Celbitt estava certo, ele foi escroto sim. Mas a partir do momento que ele procurou assistência psicológica e viu o quanto era tóxico, e esta buscando melhorar isso, é uma vitória, se todas as pessoas do mundo fizessem +","0"
"A dayane e tua prima mo linda agita ela pra mim ja chamei ela mais nem respondi kk — Daayane é linda pra caralho, pdpa lógico que agito 😂😂 https://t.co/HaAfv8NKhr","0"
"o vídeo ficou mais perfeito ainda.","0"
"@user eba minha piranha voltou","0"
"o grabban parece que tem uns 10 tijolos nos pés, hein. pqp","0"
"vai se fuder essa menina é muito gata queria","0"
"minha mãe viu esse vídeo e começou a me bater","0"
"inclusive, parabéns pro arrombado do thaynan. eu gostava muito daquele demônio. ❤️","0"
"@user kkkkkkkk ai caralho nunca ri tanto nessa vida","1"
"||: maldito seja o dia em que eu comecei a assistir game of thrones.","0"
"@user na casa do senhor  não existe satanás
xô satanás xô satanás
na casa do senhor não existe satanás
xô satanás xô satanás...","0"
"essa música eh muito sla mano, ver os meninos se divertindo dá uma sensação horrível de tristeza, a música é animadasa mas te deixa na bad e é por isso q é um dos melhores mvs do bangtan, ela é toda feliz como se tudo estivesse bem mas te deixa triste porque você sabe que não tá https://t.co/2ZMJqcChGy","0"
"Só passando pra lembrar que em um mês vc vai gastar mais com leite ninho pro teu filho ou em remédio pra tua DST do que comprar preservativo pro ano todo
Usa camisinha filho da puta","1"
"Grupo espalha outdoors por Jo茫o Pessoa com cr铆ticas a Moro e Dallagnol: 'justi莽a n茫o se faz com trapa莽as' - Pol锚mica Para铆ba https://t.co/o6ly1u3V9q","0"
"@user oq está acontecendo com nossos ídolos?
será q a rede globo lixo está fazendo lavagem cerebral neles?","0"
"[2/8 15:28] +55 85: Oi
[2/8 15:28] +55 85 : Lari
[2/8 15:28] Lary 馃尰: 脡 oii, quem 茅? Kkk
[2/8 15:28] +55 85: Eu a elayne
[2/8 15:29] +55 85 : Ja se esqueceu? 鈽�
[2/8 15:29] +55 85 : Sim sua prima

脡 cada vergonha q eu passo q eu nem sei","0"
"caralho mano se eu falar mal de mim n eh pra ficar flando q eu so dramático, porra","1"
"ele ficou mais puto por saber q tava geral cantando junto, aqui é nós n é a gente","0"
"@user mais piriguete que uma nick só duas","1"
"cara do céu vai tomar no meio do cu","1"
"rt @user como eu nunca vi esse vídeo na minha vida, pqp jongdae bêbado é o auge da fofura 

https://t.co/8pmzbfjxor","1"
"@user pra mim n tem nd feio","0"
"rt @user pqp, eh agora que o shawn e a camila vão postar vídeo fudendo https://t.co/xqgxdgpkph","1"
"i have questions 茅 uma puta m煤sica sobre como a gest茫o age e oq fez a Camila sentir, mas voc锚s juram que 茅 pra umas da meninas s贸 pra alimentar essa rivalidade que voc锚s inventaram entre elas #ExposingMIndustry","0"
"diablo e blanca, casalz茫o da porra.","0"
"@user provavelmente o próprio pai dele sai disseminando ódio por ai e ensinando o filho os mesmo passos, que tristeza","0"
"rt @user raparigas do signo touro são bué fixes, mas rapazes? porra que dor https://t.co/cgvz2eqe8n","0"
"@user @user pca é legal mas é muito grande e eu ja li a metade dos dois pontos ta ok","0"
"vagabundo fica puto quando não sabe como é o andamento da nossa vida...","0"
"não foi dessa vez eles cancelaram, nenhum site me deixa fazer compras online eu to triste","0"
"pera eu só preciso engordar 8 kg pra isso acontecer ??????
porra","0"
"avecs do caralho desliguem a puta da música","0"
"@user sorte a minha não ter uma alergia alimentar fodida, pois era capaz de me envenenar uma hora dessas","0"
"rt @user a idiotice não te leva a nada https://t.co/n4vcrjztbj","0"
"vontade de chorar do caralho","0"
"a nasa deveria estudar essa minha vontade de fuder contigo https://t.co/jz2ez8dmmc","1"
"@user ruim é ouvir funk de são paulo seu viado","1"
"vou ter que explicar 1000 vezes p minha mãe que peixe não se come com arroz, feijão e pá. peixe eh só pra tirar gosto porra","1"
"qria vê a feia","0"
"caralho mano o que tem de homem escroto na rua não ta no gibi 
os cara parece que ta preso em cativeiro a 10 anos sem ver mulher porque não e possível 
por isso que as mulheres não gostam da gente e estão certas","0"
"concordo vadia puta","1"
"vou inscrever um squad brabo nessa pro league","0"
"estava muito afim de dar um rol锚, agora n茫o estou mais afim... ai l谩 pras 20h vou estar afim de novo e se eu sair, vou me arrepender","0"
"rt @user ah não se calleri tbem chegar, serei obrigada a andar de joelhos na rua.","0"
